permalink,name,homepage_url,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_at_clean,id
"/company/ablexis",Ablexis,http://www.ablexis.com,biotech,1.2E7,operating,,,unknown,,1.0,1/1/09,2009-01-01,280
"/company/ablynx",Ablynx,http://www.ablynx.com,biotech,4.135635E7,ipo,BEL,,Ghent/Zwijnaarde,Ghent/Zwijnaarde,1.0,1/1/01,2001-01-01,281
"/company/abodo",Abodo,http://abodo.com,real_estate,325000.0,operating,USA,WI,Madison,Madison,1.0,1/3/11,2011-01-03,282
"/company/abound-logic",Abound Logic,http://www.aboundlogic.com,,3705137.0,operating,USA,CA,SF Bay,Santa Clara,1.0,1/1/93,1993-01-01,283
"/company/abound-solar",Abound Solar,http://www.abound.com,cleantech,5.1E8,closed,USA,CO,Loveland,Loveland,2.0,1/1/07,2007-01-01,284
"/company/aboutme",about.me,http://about.me,web,5675000.0,acquired,USA,CA,SF Bay,San Francisco,1.0,2/5/13,2013-02-05,285
"/company/aboutus-org",AboutUs.org,http://www.aboutus.org,web,2500000.0,operating,USA,OR,Portland,Portland,1.0,1/1/06,2006-01-01,286
"/company/above-all-software",Above All Software,,software,2100000.0,operating,USA,CA,SF Bay,Redwood City,1.0,1/1/02,2002-01-01,287
"/company/above-security",Above Security,http://www.abovesecurity.com,security,2500000.0,operating,CAN,,Boisbriand,Boisbriand,1.0,6/1/99,1999-06-01,288
"/company/abpathfinder",ABPathfinder,http://www.abpathfinder.com,health,960000.0,operating,USA,KS,Kansas City,Overland Park,2.0,6/1/10,2010-06-01,289
"/company/abs",ABS,http://advbiosurf.com,medical,132500.0,operating,USA,MN,Minneapolis,Minnetonka,1.0,1/1/09,2009-01-01,290
"/company/iphase3",Absio,http://absio.com,software,2757346.0,operating,USA,CO,Denver,Highlands Ranch,3.0,3/1/09,2009-03-01,291
"/company/absmaterials",ABSMaterials,http://www.absmaterials.com,cleantech,4000000.0,operating,USA,OH,Wooster,Wooster,1.0,1/1/08,2008-01-01,292
"/company/absolicon-solar-concentrator",Absolicon Solar Concentrator,http://www.absolicon.com,cleantech,661000.0,operating,SWE,,Harnosand,Harnosand,1.0,1/1/07,2007-01-01,293
"/company/absolutdata",AbsolutData,http://www.absolutdata.com,analytics,2.0E7,operating,USA,CA,SF Bay,Alameda,1.0,,,294
